hash_id,code,kind,repeat,desc,narrative
4362f849a92d5ef7,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 11:30 pm on
17-Jan-17."
ebc0890dacb6ef80,2.126(b),,True,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 3:00 PM on
06-Mar-17.
Registrant was contacted by phone at time of attempted inspection but said she was out of town ."
01a8aefd80b72cd8,2.1(a)(1),,False,Requirements and application.,"This is a search inspection.
The individuals have continued to conduct regulated activity without an active USDA Animal Care license. A USDA
inspector had spoken with the individuals in September 2024 about conducting regulated activity without a license and an
application was provided. On December 7th, 2024, this individual took a male spider monkey ""Fynn"" to a pet store for a
photoshoot with members of the public and received compensation for the event. The individuals state they have sent in
an application, but they have not completed a pre-license inspection and do not hold an active USDA license.
Conducting regulated activity without a USDA license does not comply with the Animal Welfare Act or ensure that APHIS
officials can assess the care of the animals. The individuals must obtain a license from the USDA to continue conducting
regulated activity under the Animal Welfare Act. Continuing to conduct regulated activity without a license is a serious
violation of the Animal Welfare Act.
This inspection and exit interview were conducted with facility representatives.
n"
4a4091e943c1e61d,2.131(b)(1),Critical,False,Handling of animals.,"During the recapture process of a wallaroo that escaped a walk-through exhibit, while facility staff attempted to carry out
recapture methods in a timely manner according to their standard operating procedures, unfortunately, the animal was
severely injured when it repeatedly jumped headfirst into fencing. The animal received immediate on-site veterinary care
and has received appropriate continued treatment for its injuries. Handling of all animals shall be done as expeditiously
and carefully as possible in a manner that does not cause trauma, overheating, excessive cooling, behavioral stress,
physical harm, or unnecessary discomfort."
4a4091e943c1e61d,3.81,,False,Environment enhancement to promote psychological well-being.,"Although the facility does have an extensive enrichment program that provides appropriate enrichment for all of their
species, the enrichment plan as written does not meet the regulatory requirements of the environmental enhancement
plan to promote psychological well-being of nonhuman primates as required. The plan is necessary to ensure the
psychological health and well-being of the animals housed within the facility. The facility must develop, document and
follow an appropriate plan for environment enhancement adequate to promote the psychological well-being of nonhuman
primates. The plan at a minimum must address social grouping, environmental enrichment, special considerations,
restraint devices, and exemptions to the plan."
4a4091e943c1e61d,3.127(d),,False,"Facilities, outdoor.","3.127 (d)Perimeter fence
In several areas of the perimeter fence, there were gaps, trees, brush and other objects that render the fence ineffective.
Several gates were noted with gaps in excess of 4 inches around the sides and/or bottom of the gate, that could allow
potential ingress of unwanted animals. There were several trees and shrubs adjacent to the outside and inside of
perimeter fence that were overgrown and/or overhanging, decreasing the effective height. On the inside of a portion of the
perimeter fence, there were large rocks and a large log adjacent to the fence that also reduce the effective height. The
fence must be constructed so that it protects the animals in the facility by restricting animals and unauthorized persons
from going through or under it and having contact with the animals of the facility and so that it can function as a secondary
containment system for the animals in the facility."
4a4091e943c1e61d,3.154,,False,Environment enhancement to promote psychological well-being.,"Although the facility does have an extensive enrichment program that provides appropriate enrichment for all of their
species, the enrichment plan as written does not meet the regulatory requirements of the environmental enhancement
plan to promote psychological well-being of birds as required. The plan is necessary to ensure the psychological health
and well-being of the birds. The facility must develop, document and follow a species appropriate plan for environment
enhancement adequate to promote the psychological well-being of birds. The plan must be approved by the attending
veterinarian, and at a minimum must address social grouping, environmental enrichment, special considerations, restraint,
and exemptions to the plan.
This is a 1st Re-License Inspection for a Class “C” license. The inspection and exit briefing were conducted with the
applicant.
All items must be in compliance within 2 more inspections or by February 19th 2023 or the applicant will forfeit the license
fee and must wait 6 months to reapply. Please contact your inspector to schedule your next Re-License Inspection.
Regulated activity can continue under your existing USDA license until it expires.
Additional Inspectors:
Geoffrey Olsen, VETERINARY MEDICAL OFFICER n"
2ca6b36229fb10ea,3.131(d),,False,Sanitation.,"In the dry-food cooler there was a pallet containing several bags of Mazuri macropod pellets that had some loose pellets
and several rodent droppings. Several of the outer bags had been chewed, there were many pieces of the chewed paper,
and the rodent droppings were scattered in the areas between the bags, the present bags had not been chewed opened.
Not maintaining an adequate pest program puts the animals at risk of disease transmission by rodents. The regulations
state that a safe and effective program for the control of mammalian pests shall be established and maintained.
Correct by: 04/12/2024
This inspection and exit interview were conducted with Facility Representative.
n"
3813bc4354cf6c1d,2.131(c)(1),Critical,False,Handling of animals.,"2.131(c)(1) Critical
While performing in the morning bird show, the Harris’s Hawk diverted from his typical flight path for the exhibition. He
was observed flying around and landing in multiple trees above the facility and the surrounding area for several hours but
failed to return to facility personnel despite multiple attempts to recall the hawk. The hawk was observed interacting with
native, wild Red Tail Hawks the same afternoon before facility staff lost sight of him. Despite continued attempts to find
and recapture the Harris’s Hawk, in accordance with their standard operating procedures for escaped animals, he has not
been observed in the area since the date of disappearance. Failure to recapture the animal may result in harm or death to
the animal. During public exhibition, any animal must be handled so there is minimal risk of harm to the animal and to the
public, with sufficient distance and/or barriers between the animal and the general viewing public so as to assure the
safety of animals and the public.
Correct by 12 June 2024"
3813bc4354cf6c1d,3.75(c)(1)(i),,False,"Housing facilities, general.","Noticeable rust was observed along the metal baseboard/ resting surfaces support located on the indoor portion of all
three colobus enclosures. Excessive rust observed on wire mesh containing the heater inside the Red ruffed lemur
enclosure. Rusty surfaces cannot be effectively cleaned and sanitized. Any surfaces that come in contact with nonhuman
primates must be free of excessive rust that prevents the required cleaning and sanitization, or that affects the structural
strength of the surface.
Corrected at the time of inspection, 12 June 2024.
This inspection and exit interview were conducted with facility staff.
Additional Inspectors:
Darren Rausch, VETERINARY MEDICAL OFFICER
KATHARINE FRANK, VETERINARY MEDICAL OFFICER n"
eaef510b8f910f59,2.1(b)(1),,False,Requirements and application,"At the Best of Tooele County & Business Expo at the Benson Grist Mill, Stansbury Park, UT, ""Otters and Others"" were
observed to be exhibiting one fox on a leash, one bison calf in a pen, and one goat, one donkey and one horse in another
pen along with a table of information advertising the business at approximately 5 pm on Sept. 11, 2024. The event had
been advertised on the Otters and Others website. The facility had received a letter dated July 19th, 2024, stating they
needed to be licensed, and application provided. A letter dated August 1st, 2024, had been sent notifying the facility that
the license for ""Once Upon a Time"" had been cancelled and that a new application for ""Otters and Others"" needed to be
submitted and stating that no regulated business can be conducted without a valid license. An email to the facility on Sept
10, 2024, confirmed to the facility that no application has yet to be received and resent the application link. No new
application has been received by Animal Care as of Sept 11, 2024.
Conducting regulated activity without a USDA license does not comply with the Animal Welfare Act or ensure that APHIS
officials can assess the care of the animals.
The facility must apply for licensure and obtain a license from the USDA to continue conducting regulated activity under
the Animal Welfare Act. Continuing to conduct regulated activity without a license is a serious violation of the Animal
Welfare Act.
This inspection and exit interview were conducted with facility representative.
n"
e7fbeb6f96392bac,2.35(t),,False,RECORDKEEPING REQUIREMENTS.,"Item Recordkeeping Requirements 2.35 a 3
At the time of inspection the facility could not find the program review or the signature sheet part of the semiannual
report form Nov 2014. The facility could only find the inspection part of the semiannual report.
The facility needs to insure semiannual report is complete so that in can be reviewed at the time of inspection.
Correct from this day 10/21/15"
e7fbeb6f96392bac,3.53(a)(4),,False,PRIMARY ENCLOSURES.,"Item Primary Enclosures 3.53 a 4
At the time of inspection it was noticed that due to the diameter of the cage flooring the rabbits feet was able to pass
thru the flooring, which could injure the animals.
Facility needs to review the flooring for the animal to insure it does not cause injury.
Correct by close of business 10/21/15
Exit interview conducted with facility at the end of inspection"
14e387cd168cd74d,2.31(c)(7),,False,Institutional Animal Care and Use Committee (IACUC).,"A protocol (ZV01-2024) details the use of methods to assess the efficacy of anesthesia, but these were not documented
in individual animal records. The doses of all drugs given within the protocol are also not logged in these records.
Additionally, the individual record for one animal did not contain documentation of the drugs given during the experiment.
Incomplete documentation of experimental procedures prevents full IACUC oversight of activities involving animals. The
facility must ensure that the IACUC review and approve, require modifications in (to secure approval), or withhold
approval of proposed significant changes regarding the care and use of animals in ongoing activities. Correct by
September 13, 2024.
This inspection and exit interview were conducted with a facility representative.
n"
