hash_id,code,kind,repeat,desc,narrative
daf6fca3e318c2cd,3.81(c)(2),,False,Environment enhancement to promote psychological well-being.,"The Environment Enhancement Plan does not adequately address the special considerations of an approximately 2-year-
old adult male Squirrel Monkey “Maurice” who was observed engaging in stereotypic behavior. The primate was pacing
along an elevated structure in the enclosure and performing a distinct head twirling motion when it got to the ends of the
structure. The primate was engaging in these behaviors for nearly the entire duration of observations by the inspectors.
The animal was also viewed at different points in the inspection process and was continuing to engage in this behavior.
When the facility representative was asked how this behavior was being treated they stated that this is how Squirrel
Monkeys act and was not implementing any corrective action to curb the behavior.
Failure to establish and follow a written environmental enhancement plan that is reviewed by the attending veterinarian
that includes special considerations for animals that are exhibiting signs of psychological distress can result in the
behaviors worsening, and prolonged discomfort and distress in non-human primates. Certain nonhuman primates must be
provided special attention regarding enhancement of their environment, based on the needs of the individual species in
accordance with the instructions of the attending veterinarian. Correct by ensuring that the written environmental
enhancement plan for all non-human primates contains veterinarian-approved provisions for animals exhibiting signs of
psychological distress and that these provisions are utilized. Correct by 4-April-2025."
daf6fca3e318c2cd,3.87,,False,Primary enclosures used to transport nonhuman primates.,"A nonhuman primate was not being transported in a primary enclosure. APHIS Officials reviewed a social media post
dated 19-April-2024 in which a Squirrel Monkey is being transported in a vehicle freely and not housed in a primary
transport enclosure. A facility representative states that this was their posting and animal. Failure to transport an animal in
a primary enclosure could cause stress, injury, or even death if the vehicle is involved in an accident. Any person subject
to the Animal Welfare regulations must not transport or deliver for transport in commerce a nonhuman primate unless it is
contained in a primary enclosure, such as a compartment, transport cage, carton, or crate. The transport enclosure must
meet all requirements set forth in this subpart. Correct by ensuring nonhuman primates are transported in an adequate
transport enclosure that meets the requirements of this subpart. Correct by 7-March-2025."
daf6fca3e318c2cd,3.154,,False,Environment enhancement to promote psychological well-being.,"The facility was unable to provide a written environmental enhancement plan for the blue and gold macaw at the facility. A
written plan is necessary to ensure that the overall health, well-being, and psychological needs of the birds are being
appropriately met. Failure to follow a species-appropriate environmental enhancement plan can lead to psychological
distress and abnormal behaviors in birds housed at the facility. Facilities that house avian species must develop,
document, and follow a species-appropriate plan for environment enhancement adequate to promote the psychological
well-being of birds. The plan must be in accordance with the currently accepted professional standards as cited in
appropriate professional journals or reference guides, and be approved by the attending veterinarian. The plan must
address social grouping, environmental enrichment, special considerations, restraint devices, and exemptions. The
environmental enhancement plan must be made available to APHIS officials upon request. Correct by 4-April-2025.
This inspection and exit interview were conducted with a Facility Representative.
Additional Inspectors:
Mark Sanderbeck, ANIMAL CARE INSPECTOR n"
85f168b725808f08,3.125(a),,False,"FACILITIES, GENERAL.","Several sharp screws points and sheet metal ends are exposed in the enclosure housing the white-tailed deer. All
of the sharp points and edges are present on an overturned dog house located within the white-tailed deer
enclosure. The sharp points and edges could injury the animal.
Remove, repair, or replace the structure to prevent potential injury to the animal.
To be corrected: 3-28-16
Note: This inspection report was sent by email.
The inspection exit briefing was conducted with the facility owner."
d5bc54f5fccb5b9a,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 4:15 pm on
22-Nov-16. The inspector knocked on the facility door, called the contact number for the license holder, and waited
in the driveway for 30 minutes in an attempt to contact the license holder. All attempts were unsuccessful.
A responsible adult shall be available to accompany inspection during business hours."
2cc0b7021ca904e0,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 12:30 pm on
30-Jan-18. The inspector called the licensee's phone and knocked at the facility door in attempts to contact the
licensee. Both attempts failed. The inspector waited in the driveway for 30 minutes before leaving.
A responsible person shall be available to accompany inspection."
f30e66953d38902e,2.126(b),,False,ACCESS AND INSPECTION OF RECORDS AND PROPERTY; SUBMISSION OF ITINERARIES.,"A responsible adult was not available to accompany APHIS Officials during the inspection process at 12:15 p.m on
11/23/2015.
Spoke with the owner by phone, he was unable to be present that day for the inspection. Owner gave optimal hours
for availability.
Additional Inspectors
Moore Chad, Animal Care Inspector"
76ca8ff02d3935c9,3.128,,False,SPACE REQUIREMENTS.,"Three flying squirrels were housed in an inappropriate enclosure during the time of inspection. The entire enclosure
measured approximately 20 inches long by 28 inches wide by 4.5 inches tall. There were five divided areas within
the enclosure measuring approximately 5 inches wide by 20 inches long by 4.5 inches tall. The animals were
housed within one of the five divided areas. The animals have been housed in this enclosure for approximately 2
months as per the facility owner. This enclosure does not allow the flying squirrels to express species typical
behaviors.
Place the animals in an enclosure that will allow for species specific behavior to provide for their well-being.
To be corrected: This was corrected between the time of inspection and the exit briefing"
76ca8ff02d3935c9,3.131(d),,False,SANITATION.,"Excessive amounts of rodent feces were present on top three animal transport enclosures within the animal building
during the time of inspection. The facility owner indicated that there aren't currently any provisions to control wild
rodents within the facility. Wild rodents can carry diseases that affect animals.
Establish, implement, and maintain an effective program for the control of wild rodents at the facility.
To be corrected: This was corrected between the time of inspection and the exit briefing
Chad Moore, ACI and Dawn Barksdale, VMO, conducted the inspection exit briefing with the facility owner.
Additional Inspectors
Barksdale Dawn, Veterinary Medical Officer"
10cc7083a12da117,3.26(b),,False,"FACILITIES, INDOOR.","The animal room containing fifteen hamsters has a strong ammonia odor. The high ammonia level was instantly felt
by the inspectors upon entering the facility. Inadequately ventilated animal rooms with high ammonia levels can
cause health problems.
Assure that the animal room is adequately ventilated to provide for the health and well-being of the hamsters.
To be corrected: 3-27-17"
